Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Sat Sep 26 15:22:17 2020
Invocation: foremost capture.pcap 
Output directory: /home/kali/Desktop/output
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: capture.pcap
Start: Sat Sep 26 15:22:17 2020
Length: 16 MB (17516102 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00000003.jpg 	      17 KB 	       1704 	 
1:	00000037.jpg 	      17 KB 	      19359 	 
2:	00000072.jpg 	      17 KB 	      37058 	 
3:	00000106.jpg 	      17 KB 	      54757 	 
4:	00000141.jpg 	      17 KB 	      72456 	 
5:	00000176.jpg 	      17 KB 	      90356 	 
6:	00000211.jpg 	      17 KB 	     108305 	 
7:	00000246.jpg 	      17 KB 	     126254 	 
8:	00000281.jpg 	      17 KB 	     144329 	 
9:	00000317.jpg 	      17 KB 	     162404 	 
10:	00000352.jpg 	      17 KB 	     180479 	 
11:	00000388.jpg 	      17 KB 	     198661 	 
12:	00000423.jpg 	      17 KB 	     216843 	 
13:	00000459.jpg 	      17 KB 	     235026 	 
14:	00000494.jpg 	      17 KB 	     253209 	 
15:	00000530.jpg 	      17 KB 	     271481 	 
16:	00000565.jpg 	      17 KB 	     289753 	 
17:	00000601.jpg 	      17 KB 	     307993 	 
18:	00000637.jpg 	      17 KB 	     326233 	 
19:	00000672.jpg 	      17 KB 	     344524 	 
20:	00000708.jpg 	      17 KB 	     362815 	 
21:	00000744.jpg 	      17 KB 	     381130 	 
22:	00000780.jpg 	      17 KB 	     399523 	 
23:	00000816.jpg 	      17 KB 	     417916 	 
24:	00000852.jpg 	      17 KB 	     436309 	 
25:	00000888.jpg 	      17 KB 	     454881 	 
26:	00000924.jpg 	      17 KB 	     473453 	 
27:	00000961.jpg 	      17 KB 	     492105 	 
28:	00000997.jpg 	      17 KB 	     510757 	 
29:	00001034.jpg 	      17 KB 	     529433 	 
30:	00001070.jpg 	      17 KB 	     548109 	 
31:	00001106.jpg 	      17 KB 	     566728 	 
32:	00001143.jpg 	      17 KB 	     585347 	 
33:	00001179.jpg 	      17 KB 	     603936 	 
34:	00001215.jpg 	      18 KB 	     622525 	 
35:	00001252.jpg 	      18 KB 	     641219 	 
36:	00001288.jpg 	      18 KB 	     659913 	 
37:	00001325.jpg 	      18 KB 	     678765 	 
38:	00001362.jpg 	      18 KB 	     697617 	 
39:	00001399.jpg 	      18 KB 	     716602 	 
40:	00001436.jpg 	      18 KB 	     735587 	 
41:	00001473.jpg 	      18 KB 	     754687 	 
42:	00001511.jpg 	      18 KB 	     773787 	 
43:	00001548.jpg 	      18 KB 	     792861 	 
44:	00001585.jpg 	      18 KB 	     811935 	 
45:	00001623.jpg 	      18 KB 	     831092 	 
46:	00001660.jpg 	      18 KB 	     850249 	 
47:	00001697.jpg 	      18 KB 	     869361 	 
48:	00001735.jpg 	      18 KB 	     888473 	 
49:	00001773.jpg 	      18 KB 	     907783 	 
50:	00001810.jpg 	      18 KB 	     927093 	 
51:	00001848.jpg 	      18 KB 	     946457 	 
