b'ABC',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nC\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABD',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nD\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABE',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nE\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABF',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nF\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABG',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nG\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABH',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nH\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABI',b'A'
b'ABJ',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nJ\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABK',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nK\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABL',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nL\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABM',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nM\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABN',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nN\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABO',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nO\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABP',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nP\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABQ',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nQ\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABR',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nR\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABS',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nS\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABT',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nT\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABU',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nU\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABV',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nV\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABW',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nW\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABX',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nX\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABY',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nY\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABZ',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nZ\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'AB[',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\n[\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'AB\\',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\n\\\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'AB]',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\n]\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'AB^',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\n^\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'AB_',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\n_\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'AB`',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\n`\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABa',b'A'
b'ABb',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nb\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABc',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nc\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABd',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nd\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABe',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\ne\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABf',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nf\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABg',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\ng\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABh',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nh\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABi',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\ni\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABj',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nj\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABk',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nk\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABl',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nl\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABm',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nm\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABn',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\nn\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABo',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\no\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
b'ABp',b'A\x1b[23;10H2\r\nB\x1b[23;10H1\r\np\x1b[24;1H\x1b[?1049l\x1b[23;0;0t\r\x1b[?1l\x1b>'
